Question,Answer,Source,Question_Swahili,Answer_Swahili,Question_Sheng,Answer_Sheng,Cleaned_Question,Cleaned_Answer
What should I do if I can't locate my package after it's been marked as delivered?,"If you are unable to locate your package after it has been delivered, pleasefill out a claim here. Once your claim is submitted you will receive an email confirmation.",https://us.puma.com/us/en/help/faq,Nifanye nini ikiwa siwezi kupata kifurushi changu baada ya kuwekwa alama kama ilivyowasilishwa?,"Ikiwa huwezi kupata kifurushi chako baada ya kutolewa, tafadhali jaza madai hapa.Mara tu madai yako yatakapowasilishwa utapokea uthibitisho wa barua pepe.",Nifanye nini ikiwa siwezi kupata kifurushi changu baada ya kuwekwa alama kama ilivyowasilishwa?,"Ikiwa huwezi kupata kifurushi chako baada ya kutolewa, tafadhali jaza madai hapa.Mara tu madai yako yatakapowasilishwa utapokea uthibitisho wa barua pepe.",cant locate package marked delivered,unable locate package delivered pleasefill claim claim submitted receive email confirmation
What should I do if my package has arrived damaged?,"If your package has arrived damages, pleasefill out a claim here. Once your claim is submitted you will receive an email confirmation.",https://us.puma.com/us/en/help/faq,Nifanye nini ikiwa kifurushi changu kimefika kimeharibiwa?,"Ikiwa kifurushi chako kimefika uharibifu, tafadhali jaza madai hapa.Mara tu madai yako yatakapowasilishwa utapokea uthibitisho wa barua pepe.",Nifanye nini ikiwa kifurushi changu kimefika kimeharibiwa?,"Ikiwa kifurushi chako kimefika uharibifu, tafadhali jaza madai hapa.Mara tu madai yako yatakapowasilishwa utapokea uthibitisho wa barua pepe.",package arrived damaged,package arrived damage pleasefill claim claim submitted receive email confirmation
What should I do if my tracking has not updated?,"If your tracking has not updated, it is likely still in transit to you. Many times, FedEx will only update with a location scan once the package is in the local area. We must allow FedEx 10 business days without an update before considering a package lost in transit. If this time frame has passed, pleasefill out a claim here. Once your claim is submitted you will receive an email confirmation.",https://us.puma.com/us/en/help/faq,Nifanye nini ikiwa ufuatiliaji wangu haujasasisha?,"Ikiwa ufuatiliaji wako haujasasisha, uwezekano bado unaendelea kukusafiria.Mara nyingi, FedEx itasasisha tu na skanning ya eneo mara tu kifurushi kikiwa katika eneo la mtaa.Lazima turuhusu siku za biashara za FedEx 10 bila sasisho kabla ya kuzingatia kifurushi kilichopotea katika usafirishaji.Ikiwa wakati huu umepita, tafadhali jaza madai hapa.Mara tu madai yako yatakapowasilishwa utapokea uthibitisho wa barua pepe.",Nifanye nini ikiwa ufuatiliaji wangu haujasasisha?,"Ikiwa ufuatiliaji wako haujasasisha, uwezekano bado unaendelea kukusafiria.Mara nyingi, FedEx itasasisha tu na skanning ya eneo mara tu kifurushi kikiwa katika eneo la mtaa.Lazima turuhusu day za biashara za FedEx 10 bila sasisho kabla ya kuzingatia kifurushi kilichopotea katika usafirishaji.Ikiwa wakati huu umepita, tafadhali jaza madai hapa.Mara tu madai yako yatakapowasilishwa utapokea uthibitisho wa barua pepe.",tracking updated,tracking updated likely still transit many time fedex update location scan package local area must allow fedex 10 business day without update considering package lost transit time frame passed pleasefill claim claim submitted receive email confirmation
How do I return or exchange an item?,"We are happy to offer free online returns for orders placed on puma.com within 45 days of purchase. You may return your PUMA products* in their original, unused condition for a full refund.*Excludes gift cards, bodywear, customized products and final sale items.",https://us.puma.com/us/en/help/faq,Je! Ninarudije au kubadilishana bidhaa?,"Tunafurahi kutoa mapato ya bure mkondoni kwa maagizo yaliyowekwa kwenye Puma.com ndani ya siku 45 za ununuzi.Unaweza kurudisha bidhaa zako za Puma* katika hali yao ya asili, isiyotumika kwa refund kamili.* Haijumuishi kadi za zawadi, nguo za mwili, bidhaa zilizobinafsishwa na vitu vya uuzaji wa mwisho.",Je! Ninarudije au kubadilishana bidhaa?,"Tunafurahi kutoa mapato ya bure mkondoni kwa maagizo yaliyowekwa kwenye Puma.com ndani ya day 45 za ununuzi.Unaweza kurudisha bidhaa zako za Puma* katika hali yao ya asili, isiyotumika kwa refund kamili.* Haijumuishi kadi za zawadi, nguo za mwili, bidhaa zilizobinafsishwa na vitu vya uuzaji wa mwisho.",return exchange item,happy offer free online return order placed pumacom within 45 day purchase may return puma product original unused condition full refundexcludes gift card bodywear customized product final sale item
What if I have a defective or damaged item?,"If you believe an item is defective, please contact Customer Service at 1-888-565-7862 or via customerservice.us@puma.com",https://us.puma.com/us/en/help/faq,Je! Ikiwa nina kitu chenye kasoro au kilichoharibiwa?,"Ikiwa unaamini bidhaa ina kasoro, tafadhali wasiliana na Huduma ya Wateja kwa 1-888-565-7862 au kupitia wateja huduma.us@puma.com.com",Je! Ikiwa nina kitu chenye kasoro au kilichoharibiwa?,"Ikiwa unaamini bidhaa ina kasoro, tafadhali wasiliana na Huduma ya Wateja kwa 1-888-565-7862 au kupitia wateja huduma.us@puma.com.com",defective damaged item,believe item defective please contact customer service 18885657862 via customerserviceuspumacom
What is the 30 Day Test Run?,"Try ourrunning shoesfor 30 days and if theyâ€™re not a good fit, send them back hassle-free.",https://us.puma.com/us/en/help/faq,Je! Mtihani wa siku 30 ni nini?,"Jaribu kukimbia viatu kwa siku 30 na ikiwa hazifai vizuri, warudishe bila shida.",Je! Mtihani wa day 30 ni nini?,"Jaribu kukimbia viatu kwa day 30 na ikiwa hazifai vizuri, warudishe bila shida.",30 day test run,try ourrunning shoesfor 30 day theyâ€™re good fit send back hasslefree
Where can I find a PUMA Store or Outlet?,You can find your nearest PUMA Store via our onlineStore Directory. Near NYC? Check out ourFlagship Store.,https://us.puma.com/us/en/help/faq,Ninaweza kupata wapi duka la puma au duka?,Unaweza kupata duka lako la karibu la Puma kupitia saraka yetu ya duka mkondoni.Karibu na NYC?Angalia duka letu la bendera.,Ninaweza kupata wapi duka la puma au duka?,Unaweza kupata duka lako la fiti la Puma kupitia saraka yetu ya duka mkondoni.Karibu na NYC?Angalia duka letu la bendera.,find puma store outlet,find nearest puma store via onlinestore directory near nyc check ourflagship store
Is there a maximum unit purchase on a single item?,"Yes, most PUMA.com products have an order quantity limit of 6. Certain Select styles and higher priced items will have a quantity limit of 2. PUMA reserves the right to lower the order quantity limit based on item availability.",https://us.puma.com/us/en/help/faq,Je! Kuna ununuzi wa kiwango cha juu kwenye kitu kimoja?,"Ndio, bidhaa nyingi za Puma.com zina kikomo cha idadi ya 6. Mitindo fulani ya kuchagua na vitu vya bei ya juu vitakuwa na kikomo cha 2. PUMA ina haki ya kupunguza kikomo cha idadi kulingana na upatikanaji wa bidhaa.",Je! Kuna ununuzi wa kiwango cha juu kwenye kitu kimoja?,"Ndio, bidhaa nyingi za Puma.com zina kikomo cha idadi ya 6. Mitindo fulani ya kuchagua na vitu vya bei ya juu vitakuwa na kikomo cha 2. PUMA ina haki ya kupunguza kikomo cha idadi kulingana na upatikanaji wa bidhaa.",maximum unit purchase single item,yes pumacom product order quantity limit 6 certain select style higher priced item quantity limit 2 puma reserve right lower order quantity limit based item availability
Do you offer a student discount?,Yes! We are happy to offer a Student Discount through UNiDAYS.,https://us.puma.com/us/en/help/faq,Je! Unatoa punguzo la mwanafunzi?,NDIYO!Tunafurahi kutoa punguzo la mwanafunzi kupitia unidays.,Je! Unatoa punguzo la mwanafunzi?,NDIYO!Tunafurahi kutoa punguzo la mwanafunzi kupitia unidays.,offer student discount,yes happy offer student discount unidays
Which browser works best for your site?,"At PUMA, we're committed to be the worldâ€™s fastest sports brand. Our teams make use of the newest technologies to improve your experience. Modern, up-to-date browsers allow you to take full advantage of this, as well as providing improved security and performance. We recommend using the latest versions of Google Chrome or Safari when browsing the PUMA website. Using an alternate browser will result in an inferior experience where some features may not work as intended.",https://us.puma.com/us/en/help/faq,Je! Ni kivinjari gani kinachofanya kazi vizuri kwa wavuti yako?,"Huko Puma, tumejitolea kuwa chapa ya michezo ya haraka sana ulimwenguni.Timu zetu hutumia teknolojia mpya zaidi kuboresha uzoefu wako.Vivinjari vya kisasa, vya kisasa vinakuruhusu kuchukua fursa kamili ya hii, na pia kutoa usalama na utendaji bora.Tunapendekeza kutumia matoleo ya hivi karibuni ya Google Chrome au Safari wakati wa kuvinjari wavuti ya PUMA.Kutumia kivinjari mbadala kitasababisha uzoefu duni ambapo huduma zingine haziwezi kufanya kazi kama ilivyokusudiwa.",Je! Ni kivinjari gani kinachofanya kazi vizuri kwa wavuti yako?,"Huko Puma, tumejitolea kuwa chapa ya michezo ya haraka sana ulimwenguni.Timu zetu hutumia teknolojia mpya zaidi kuboresha uzoefu wako.Vivinjari vya kisasa, vya kisasa vinakuruhusu kuchukua fursa kamili ya hii, na pia kutoa usalama na utendaji bora.Tunapendekeza kutumia matoleo ya hivi fitini ya Google Chrome au Safari wakati wa kuvinjari wavuti ya PUMA.Kutumia kivinjari mbadala kitasababisha uzoefu duni ambapo huduma zingine haziwezi kufanya kazi kama ilivyokusudiwa.",browser work best site,puma committed worldâ€™s fastest sport brand team make use newest technology improve experience modern uptodate browser allow take full advantage well providing improved security performance recommend using latest version google chrome safari browsing puma website using alternate browser result inferior experience feature may work intended
Why are products disappearing out of my shopping cart?,"The lifetime of the shopping cart is 7 days. After 7 days any item in your cart will no longer be visible. Remember, item inventory is not reserved when added to your cart. We recommend placing your order to secure the items you wish to purchase.",https://us.puma.com/us/en/help/faq,Kwa nini bidhaa zinapotea nje ya gari langu la ununuzi?,"Maisha ya gari la ununuzi ni siku 7.Baada ya siku 7 kitu chochote kwenye gari lako hakitaonekana tena.Kumbuka, hesabu ya bidhaa haihifadhiwa wakati imeongezwa kwenye gari lako.Tunapendekeza kuweka agizo lako ili kupata vitu unavyotaka kununua.",Kwa nini bidhaa zinapotea nje ya gari langu la ununuzi?,"Maisha ya gari la ununuzi ni day 7.Baada ya day 7 kitu chochote kwenye gari lako hakitaonekana tena.Kumbuka, hesabu ya bidhaa haihifadhiwa wakati imeongezwa kwenye gari lako.Tunapendekeza kuweka agizo lako ili kupata vitu unavyotaka kununua.",product disappearing shopping cart,lifetime shopping cart 7 day 7 day item cart longer visible remember item inventory reserved added cart recommend placing order secure item wish purchase
Can I save items in my shopping cart to purchase later?,"If you would like to save items for future purchase, we recommend utilizing our Wishlist functionality â€“ simply create an account, login, and begin adding items to your Wishlist. Items in your Wishlist will be stored and will display the most up to date stock information, in the event an item goes out of stock.",https://us.puma.com/us/en/help/faq,Je! Ninaweza kuhifadhi vitu kwenye gari langu la ununuzi kununua baadaye?,"Ikiwa ungetaka kuokoa vitu kwa ununuzi wa baadaye, tunapendekeza kutumia utendaji wetu wa orodha ya matamanio â € ""Unda tu akaunti, ingia, na uanze kuongeza vitu kwenye orodha yako ya matamanio. Vitu kwenye orodha yako vitahifadhiwa na zitaonyesha habari za juu zaidi za hisa, katika tukio ambalo bidhaa itatoka kwa hisa.",Je! Ninaweza kuhifadhi vitu kwenye gari langu la ununuzi kununua baadaye?,"Ikiwa ungetaka kuokoa vitu kwa ununuzi wa baadaye, tunapendekeza kutumia utendaji wetu wa orodha ya matamanio â € ""Unda tu akaunti, ingia, na uanze kuongeza vitu kwenye orodha yako ya matamanio. Vitu kwenye orodha yako vitahifadhiwa na zitaonyesha niaje za juu zaidi za hisa, katika tukio ambalo bidhaa itatoka kwa hisa.",save item shopping cart purchase later,would like save item future purchase recommend utilizing wishlist functionality â€ “ simply create account login begin adding item wishlist item wishlist stored display date stock information event item go stock
How can I request a sponsorship from PUMA?,Please send your sponsorship inquiry to our official email:pna-sponsorships.usa@puma.com,https://us.puma.com/us/en/help/faq,Ninawezaje kuomba udhamini kutoka kwa Puma?,Tafadhali tuma uchunguzi wako wa udhamini kwa barua pepe yetu rasmi: pna-sponsorship.usa@puma.com,Ninawezaje kuomba udhamini kutoka kwa Puma?,Tafadhali tuma uchunguzi wako wa udhamini kwa barua pepe yetu rasmi: pna-sponsorship.usa@puma.com,request sponsorship puma,please send sponsorship inquiry official emailpnasponsorshipsusapumacom
How do I care for my PUMA products?,Caring for PUMA Apparel,https://us.puma.com/us/en/help/faq,Je! Ninajalije bidhaa zangu za puma?,Kujali Mavazi ya Puma,Je! Ninajalije bidhaa zangu za puma?,Kujali Mavazi ya Puma,care puma product,caring puma apparel
How can I sell PUMA products in my store or online?,"If you are a retailer interested in selling PUMA products, please reach out toNew-Account-Applications@puma.comand include the following information in your inquiry:Business NameContact NameContact NumberContact Email",https://us.puma.com/us/en/help/faq,Ninawezaje kuuza bidhaa za puma kwenye duka langu au mkondoni?,"Ikiwa wewe ni muuzaji anayevutiwa na kuuza bidhaa za Puma, tafadhali fikia Tonew-account-application@puma.com na ni pamoja na habari ifuatayo katika uchunguzi wako: Biashara NameContact NameContact Nambari ya Nambari",Ninawezaje kuuza bidhaa za puma kwenye duka langu au mkondoni?,"Ikiwa wewe ni muuzaji anayevutiwa na kuuza bidhaa za Puma, tafadhali fikia Tonew-account-application@puma.com na ni pamoja na niaje ifuatayo katika uchunguzi wako: Biashara NameContact NameContact Nambari ya Nambari",sell puma product store online,retailer interested selling puma product please reach tonewaccountapplicationspumacomand include following information inquirybusiness namecontact namecontact numbercontact email
Where are the Decathlon stores in Kenya?,"We are located at The Hub Mall in Karen and Two Rivers mallÂ  along Limuru road. If you would like to recommend a place for us to continue, write to us and let us know!",https://www.decathlon.co.ke/content/99-faq,Je! Duka za Decathlon ziko wapi Kenya?,"Tuko katika Hub Mall huko Karen na Mito Mbili Mallâ kando ya barabara ya Limuru.Ikiwa ungetaka kupendekeza mahali pa sisi kuendelea, tuandikie na tujulishe!",Je! Duka za Decathlon ziko wapi Kenya?,"Tuko katika Hub Mall huko Karen na Mito Mbili Mallâ kando ya barabara ya Limuru.Ikiwa ungetaka kupendekeza mahali pa sisi kuendelea, tuandikie na tujulishe!",decathlon store kenya,located hub mall karen two river mallâ along limuru road would like recommend place u continue write u let u know
Do you deliver Outside Nairobi?,We currently deliver within Nairobi. We also value our clients outside Nairobi as well but they will need to organize for transport for their orders as our transport provider only caters for Nairobi region. Thank you for your understanding.,https://www.decathlon.co.ke/content/99-faq,Je! Unatoa nje ya Nairobi?,Hivi sasa tunatoa ndani ya Nairobi.Tunathamini pia wateja wetu nje ya Nairobi pia lakini watahitaji kupanga kwa usafirishaji kwa maagizo yao kama mtoaji wetu wa usafirishaji anapeana tu kwa mkoa wa Nairobi.Asante kwa uelewa wako.,Je! Unatoa nje ya Nairobi?,Hivi sasa tunatoa ndani ya Nairobi.Tunathamini pia wateja wetu nje ya Nairobi pia lakini watahitaji kupanga kwa usafirishaji kwa maagizo yao kama mtoaji wetu wa usafirishaji anapeana tu kwa mkoa wa Nairobi.Asante kwa uelewa wako.,deliver outside nairobi,currently deliver within nairobi also value client outside nairobi well need organize transport order transport provider caters nairobi region thank understanding
Is there a way to test your products for size before we purchase them?,"Yes there is, but unfortunately, you will have to visit our physical stores at the hub in Karen and Two Rivers mall.",https://www.decathlon.co.ke/content/99-faq,Je! Kuna njia ya kujaribu bidhaa zako kwa ukubwa kabla ya kuzinunua?,"Ndio kuna, lakini kwa bahati mbaya, itabidi utembelee duka zetu za mwili kwenye kitovu huko Karen na Mito Mbili.",Je! Kuna njia ya kujaribu bidhaa zako kwa ukubwa kabla ya kuzinunua?,"Ndio kuna, lakini kwa bahati mbaya, itabidi utembelee duka zetu za mwili kwenye kitovu huko Karen na Mito Mbili.",way test product size purchase,yes unfortunately visit physical store hub karen two river mall
Can I pick up my orders from somewhere in NairobiÂ instead of choosing and paying for delivery?,Our delivery partners will deliver your order to the address you provide. We have a pick up in store option on the website that allows you to pick the product at any of outlets within 7 days after your purchase.,https://www.decathlon.co.ke/content/99-faq,Je! Ninaweza kuchukua maagizo yangu kutoka mahali pengine huko Nairobi badala ya kuchagua na kulipia kwa kujifungua?,Washirika wetu wa utoaji watatoa agizo lako kwa anwani unayotoa.Tunayo chaguo la duka kwenye wavuti ambayo hukuruhusu kuchagua bidhaa hiyo katika maduka yoyote ndani ya siku 7 baada ya ununuzi wako.,Je! Ninaweza kuchukua maagizo yangu kutoka mahali pengine huko Nairobi badala ya kuchagua na kulipia kwa kujifungua?,Washirika wetu wa utoaji watatoa agizo lako kwa anwani unayotoa.Tunayo chaguo la duka kwenye wavuti ambayo hukuruhusu kuchagua bidhaa hiyo katika maduka yoyote ndani ya day 7 baada ya ununuzi wako.,pick order somewhere nairobiâ instead choosing paying delivery,delivery partner deliver order address provide pick store option website allows pick product outlet within 7 day purchase
Do you offer printing for apparel or customized kits?,"No, not at the moment!",https://www.decathlon.co.ke/content/99-faq,Je! Unatoa uchapishaji kwa mavazi au vifaa vilivyobinafsishwa?,"Hapana, sio kwa sasa!",Je! Unatoa uchapishaji kwa mavazi au vifaa vilivyobinafsishwa?,"Hapana, sio kwa sasa!",offer printing apparel customized kit,moment
How do I track my order?,"Once your order has been paid for and confirmed, you will receive an email with your tracking ID. Please use this tracking ID to check on the status of your order.Â  If you have tried this already and still have questions, please write to us[emailÂ protected]",https://www.decathlon.co.ke/content/99-faq,Je! Ninafuatiliaje agizo langu?,"Mara tu agizo lako limelipwa na kudhibitishwa, utapokea barua pepe na kitambulisho chako cha kufuatilia.Tafadhali tumia kitambulisho hiki cha kufuatilia kuangalia hali ya agizo lako. Ikiwa umejaribu hii tayari na bado una maswali, tafadhali tuandikie [barua pepe iliyolindwa]",Je! Ninafuatiliaje agizo langu?,"Mara tu agizo lako limelipwa na kudhibitishwa, utapokea barua pepe na kitambulisho chako cha kufuatilia.Tafadhali tumia kitambulisho hiki cha kufuatilia kuangalia hali ya agizo lako. Ikiwa umejaribu hii tayari na bado una maswali, tafadhali tuandikie [barua pepe iliyolindwa]",track order,order paid confirmed receive email tracking id please use tracking id check status orderâ tried already still question please write usemailâ protected
The order delivery was attempted at a time when I was not at the delivery address. What happens next?,"Please check your phone for any messages or calls from our delivery partner. In case they missed you, they will return the order back to us to be shipped back out after communication.",https://www.decathlon.co.ke/content/99-faq,Uwasilishaji wa agizo ulijaribu wakati ambao sikuwa kwenye anwani ya utoaji.Nini kinatokea baadaye?,"Tafadhali angalia simu yako kwa ujumbe wowote au simu kutoka kwa mwenzi wetu wa kujifungua.Ikiwa watakukosa, watarudisha agizo kwetu kusafirishwa nyuma baada ya mawasiliano.",Uwasilishaji wa agizo ulijaribu wakati ambao daywa kwenye anwani ya utoaji.Nini kinatokea baadaye?,"Tafadhali angalia simu yako kwa ujumbe wowote au simu kutoka kwa mwenzi wetu wa kujifungua.Ikiwa watakukosa, watarudisha agizo kwetu kusafirishwa nyuma baada ya mawasiliano.",order delivery attempted time delivery address happens next,please check phone message call delivery partner case missed return order back u shipped back communication
Can I change my delivery address after an order has been confirmed?,"That will depend on the status of your order, please write or call us immediately.",https://www.decathlon.co.ke/content/99-faq,Je! Ninaweza kubadilisha anwani yangu ya uwasilishaji baada ya agizo kuthibitishwa?,"Hiyo itategemea hali ya agizo lako, tafadhali andika au tupigie simu mara moja.",Je! Ninaweza kubadilisha anwani yangu ya uwasilishaji baada ya agizo kuthibitishwa?,"Hiyo itategemea hali ya agizo lako, tafadhali andika au tupigie simu mara moja.",change delivery address order confirmed,depend status order please write call u immediately
I would like to buy a Decathlon product that you donâ€™t currently stock.,"Unfortunately, we can't! However, our aim is to expand our product range step by step, so if thereâ€™s something you need and cant find, please let us know so we can make it available in the future.",https://www.decathlon.co.ke/content/99-faq,Napenda kununua bidhaa ya decathlon ambayo hauna hisa sasa.,"Kwa bahati mbaya, hatuwezi!Walakini, lengo letu ni kupanua aina yetu ya bidhaa hatua kwa hatua, kwa hivyo ikiwa kuna kitu unahitaji na hauwezi kupata, tafadhali tujulishe ili tuweze kupatikana katika siku zijazo.",Napenda kununua bidhaa ya decathlon ambayo hauna hisa sasa.,"Kwa bahati mbaya, hatuwezi!Walakini, lengo letu ni kupanua aina yetu ya bidhaa hatua kwa hatua, kwa hivyo ikiwa kuna kitu unahitaji na hauwezi kupata, tafadhali tujulishe ili tuweze kupatikana katika day zijazo.",would like buy decathlon product donâ€™t currently stock,unfortunately cant however aim expand product range step step thereâ€™s something need cant find please let u know make available future
